site,siteid,liaison,type,ip
AEF-CREPY,16,sdsl,SW-CISCO-L3,192.168.16.1
ARCHIVES,61,ospf,SW-CISCO,192.168.61.10
ARCHIVES,61,ospf,SW-CISCO,192.168.61.11
ARCHIVES,61,ospf,SW-CISCO,192.168.61.12
ARCHIVES,61,ospf,SW-CISCO-L3,192.168.252.58
ARCHIVES,61,ospf,SW-CISCO-L3,192.168.61.1
BAYARD,6,sdsl,SW-ALLIED,172.23.6.10
BAYARD,6,sdsl,SW-ALLIED-L3,172.23.6.1
BEREGOVOY,24,ospf,SW-CISCO-L3,172.23.2.1
BEREGOVOY,24,ospf,SW-HP,172.23.2.10
BEREGOVOY,24,ospf,SW-HP,172.23.2.11
CAMBRY,16,ospf,SW-ALLIED,172.16.1.10
CAMBRY,16,ospf,SW-ALLIED,172.16.1.11
CAMBRY,16,ospf,SW-CISCO,172.16.1.100
CAMBRY,16,ospf,SW-CISCO,172.16.1.101
CAMBRY,16,ospf,SW-CISCO,172.16.1.103
CAMBRY,16,ospf,SW-CISCO,172.16.1.28
CAMBRY,16,ospf,SW-CISCO-L3,192.168.252.52
CARON,23,ospf,SW-CISCO-L3,192.168.252.56
CARON,23,ospf,SW-HP,172.23.0.10
CARON,23,ospf,SW-HP,172.23.0.11
CDEF-BVS,99,sdsl,SW-CISCO,192.168.99.10
CDEF-BVS,99,sdsl,SW-CISCO,192.168.99.12
CDEF-BVS,99,sdsl,SW-CISCO,192.168.99.13
CDEF-BVS,99,sdsl,SW-CISCO-L3,192.168.99.1
CDEF-COMP,121,sdsl,SW-CISCO,192.168.121.10
CDEF-COMP,121,sdsl,SW-CISCO-L3,192.168.121.1
CDEF-SENLIS,120,sdsl,SW-CISCO,192.168.120.10
CDEF-SENLIS,120,sdsl,SW-CISCO-L3,192.168.120.1
CRD-ATTICHY,100,sdsl,SW-CISCO-L3,192.168.100.1
CRD-AUNEUIL,101,sdsl,SW-CISCO-L3,192.168.101.1
CRD-CHAUMONT,102,sdsl,SW-CISCO-L3,192.168.102.1
CRD-CREPY,103,sdsl,SW-CISCO-L3,192.168.103.1
CRD-CREVECOEUR,104,sdsl,SW-CISCO-L3,192.168.104.1
CRD-ESTREE,105,sdsl,SW-CISCO,192.168.105.10
CRD-ESTREE,105,sdsl,SW-CISCO-L3,192.168.105.1
CRD-FORMERIE,106,sdsl,SW-CISCO-L3,192.168.106.1
CRD-FROISSY,107,sdsl,SW-CISCO-L3,192.168.107.1
CRD-GUISCARD,113,sdsl,SW-CISCO-L3,192.168.113.1
CRD-NANTEUIL,112,sdsl,SW-CISCO-L3,192.168.112.1
CRD-NOAILLES,109,sdsl,SW-CISCO-L3,192.168.109.1
CRD-RUESTPIERRE,108,sdsl,SW-CISCO-L3,192.168.108.1
CRD-STMAX,111,sdsl,SW-CISCO-L3,192.168.111.1
DASSAULT,19,ospf,SW-ALLIED-L3,192.168.252.59
DASSAULT,19,ospf,SW-CISCO,192.168.19.10
DSIT,17,central,SW-CISCO,172.17.1.12
DSIT,17,central,SW-CISCO,172.17.1.13
DSIT,17,central,SW-CISCO,172.17.1.15
DSIT,17,central,SW-CISCO,172.17.1.17
DSIT,17,central,SW-CISCO,172.17.1.21
DSIT,17,central,SW-CISCO,172.17.1.22
DSIT,17,central,SW-CISCO,172.17.1.23
DSIT,17,central,SW-CISCO,172.17.1.26
DSIT,17,central,SW-CISCO,172.17.1.29
DSIT,17,central,SW-CISCO,192.168.252.50
DSIT,17,central,SW-CISCO,192.168.252.51
DSIT,17,central,SW-CISCO-L3,172.17.1.1
DSIT-FS,17,central,SW-CISCO,172.18.1.10
DSIT-FS,17,central,SW-CISCO,172.18.1.105
DSIT-FS,17,central,SW-CISCO,172.18.1.106
DSIT-FS,17,central,SW-CISCO,172.18.1.107
DSIT-FS,17,central,SW-CISCO,172.18.1.108
DSIT-FS,17,central,SW-CISCO,172.18.1.11
DSIT-FS,17,central,SW-CISCO,172.18.1.14
DSIT-FS,17,central,SW-CISCO,172.18.1.15
DSIT-FS,17,central,SW-CISCO,172.18.1.16
DSIT-FS,17,central,SW-CISCO,172.18.1.19
DSIT-FS,17,central,SW-CISCO,172.18.1.26
DSIT-FS,17,central,SW-CISCO,172.18.1.27
DSIT-FS,17,central,SW-CISCO,172.18.1.29
DSV,174,ospf,SW-ALLIED-L3,192.168.252.131
GALILEE,18,ospf,SW-CISCO-L3,192.168.18.1
GALILEE,18,ospf,SW-HP,192.168.18.10
H-CARLIER,176,ospf,SW-CISCO,192.168.176.10
H-CARLIER,176,ospf,SW-CISCO-L3,192.168.252.132
HOTEL,51,central,SW-ALLIED,172.29.51.10
HOTEL,51,central,SW-CISCO,172.18.1.100
HOTEL,51,central,SW-CISCO,172.18.1.101
HOTEL,51,central,SW-CISCO,172.18.1.102
HOTEL,51,central,SW-CISCO,172.18.1.103
HOTEL,51,central,SW-CISCO,172.18.1.109
HOTEL,51,central,SW-CISCO,172.18.1.110
HOTEL,51,central,SW-CISCO,172.18.1.111
HOTEL,51,central,SW-CISCO,172.18.1.112
HOTEL,51,central,SW-CISCO,192.168.252.54
HOTEL,51,central,SW-CISCO,192.168.51.10
HOTEL,51,central,SW-CISCO,192.168.51.11
HOTEL,51,central,SW-CISCO,192.168.51.19
HOTEL,51,central,SW-CISCO-L3,192.168.51.1
HOTEL,51,central,SW-HP,192.168.51.13
HOTEL,51,central,SW-HP,192.168.51.16
HOTEL,51,central,SW-HP,192.168.51.18
HUGO,4,ospf,SW-ALLIED,172.23.4.10
HUGO,4,ospf,SW-ALLIED,172.23.4.11
HUGO,4,ospf,SW-CISCO,172.23.4.12
HUGO,4,ospf,SW-CISCO-L3,192.168.253.1
LEBLOND,173,sdsl,SW-ALLIED-L3,192.168.173.1
LEBLOND,173,sdsl,SW-CISCO,192.168.173.10
MCG-BRESLES,162,sdsl,SW-CISCO-L3,192.168.162.1
MCG-CREVECOEUR,169,sdsl,SW-HP-L3,10.168.169.2
MCG-STJUST,154,sdsl,SW-CISCO-L3,192.168.154.1
MDO-BVS,92,sdsl,SW-CISCO,192.168.92.10
MDO-BVS,92,sdsl,SW-CISCO,192.168.92.11
MDO-BVS,92,sdsl,SW-CISCO-L3,192.168.92.1
MDO-SENLIS,97,sdsl,SW-CISCO,192.168.97.10
MDO-SENLIS,97,sdsl,SW-CISCO-L3,192.168.97.1
MDPH,160,ospf,SW-ALLIED,192.168.160.11
MDPH,160,ospf,SW-CISCO-L3,192.168.252.130
MDPH,160,ospf,SW-HP,192.168.160.10
MDS-RESSONS,95,sdsl,SW-CISCO-L3,192.168.95.1
MSF-ARGENTINE,82,sdsl,SW-CISCO-L3,192.168.82.1
MSF-BOISLISLE,141,sdsl,SW-CISCO,192.168.141.10
MSF-BOISLISLE,141,sdsl,SW-CISCO-L3,192.168.141.1
MSF-BRETEUIL,79,sdsl,SW-CISCO-L3,192.168.79.1
MSF-CHAMBLY,94,sdsl,SW-CISCO-L3,192.168.94.1
MSF-CHANTILLY,83,sdsl,SW-CISCO-L3,192.168.83.1
MSF-CHAUMONT,77,sdsl,SW-CISCO-L3,192.168.77.1
MSF-CLERMONT,66,sdsl,SW-CISCO,192.168.66.10
MSF-CLERMONT,66,sdsl,SW-CISCO-L3,192.168.66.1
MSF-COMPCRX,131,sdsl,SW-CISCO-L3,192.168.131.1
MSF-CREIL,91,sdsl,SW-CISCO-L3,192.168.91.1
MSF-CREPY,76,sdsl,SW-CISCO-L3,192.168.76.1
MSF-ESTREE,15,sdsl,SW-CISCO-L3,192.168.15.1
MSF-GRAND,72,sdsl,SW-CISCO,192.168.72.10
MSF-GRAND,72,sdsl,SW-CISCO-L3,192.168.72.1
MSF-LIANCOURT,86,sdsl,SW-CISCO-L3,192.168.86.1
MSF-LIANCOURT-N,88,sdsl,SW-ALLIED-L3,192.168.88.1
MSF-MAIGNELAY,130,sdsl,SW-CISCO-L3,192.168.130.1
MSF-MERU,80,sdsl,SW-CISCO,192.168.80.10
MSF-MERU,80,sdsl,SW-CISCO,192.168.80.11
MSF-MERU,80,sdsl,SW-CISCO-L3,192.168.80.1
MSF-MONTATAIRE,70,sdsl,SW-CISCO,192.168.70.10
MSF-MONTATAIRE,70,sdsl,SW-CISCO-L3,192.168.70.1
MSF-MOUY,63,sdsl,SW-CISCO-L3,192.168.63.1
MSF-NOAILLES,64,sdsl,SW-CISCO-L3,192.168.64.1
MSF-NOGENT,69,sdsl,SW-CISCO,192.168.69.10
MSF-NOGENT,69,sdsl,SW-CISCO,192.168.69.11
MSF-NOGENT,69,sdsl,SW-CISCO-L3,192.168.69.1
MSF-NOYON,74,sdsl,SW-CISCO,192.168.74.10
MSF-NOYON,74,sdsl,SW-CISCO-L3,192.168.74.1
MSF-PONT,84,sdsl,SW-CISCO-L3,192.168.84.1
MSF-SENLIS,73,sdsl,SW-CISCO,192.168.73.10
MSF-SENLIS,73,sdsl,SW-CISCO,192.168.73.11
MSF-SENLIS,73,sdsl,SW-CISCO-L3,192.168.73.1
MSF-STJEAN-B,179,sdsl,SW-ALLIED-L3,192.168.179.1
MSF-STJUST,78,sdsl,SW-CISCO-L3,192.168.78.1
MSF-THOUROTTE,93,sdsl,SW-CISCO-L3,192.168.93.1
MUSEE,175,ospf,SW-ALLIED,192.168.175.11
MUSEE,175,ospf,SW-CISCO,192.168.175.10
MUSEE,175,ospf,SW-CISCO-L3,192.168.252.129
PARC-D,25,sdsl,SW-CISCO,192.168.25.10
PARC-D,25,sdsl,SW-CISCO,192.168.25.11
PARC-D,25,sdsl,SW-CISCO-L3,192.168.25.1
PARC-JJR,170,sdsl,SW-ALLIED-L3,192.168.170.1
PMI-CREIL,110,sdsl,SW-CISCO-L3,192.168.110.1
RESMUSEE,181,sdsl,SW-ALLIED-L3,192.168.181.1
RODIN,89,sdsl,SW-CISCO,192.168.89.10
RODIN,89,sdsl,SW-CISCO,192.168.89.11
RODIN,89,sdsl,SW-CISCO-L3,192.168.89.1
RS-BVS,71,sdsl,SW-CISCO,192.168.71.10
RS-BVS,71,sdsl,SW-CISCO,192.168.71.11
RS-BVS,71,sdsl,SW-CISCO,192.168.71.12
RS-BVS,71,sdsl,SW-CISCO,192.168.71.13
RS-BVS,71,sdsl,SW-CISCO-L3,192.168.71.1
RS-NOYON,165,sdsl,SW-CISCO,192.168.165.10
RS-NOYON,165,sdsl,SW-CISCO-L3,192.168.165.1
RS-SENLIS,31,sdsl,SW-CISCO,192.168.31.10
RS-SENLIS,31,sdsl,SW-CISCO-L3,192.168.31.1
SDARCHEO,164,sdsl,SW-CISCO,192.168.164.10
SDARCHEO,164,sdsl,SW-CISCO-L3,192.168.164.1
TILLOY,114,ospf,IP,172.19.1.1
TILLOY,114,ospf,SW-HP,172.19.1.10
TILLOY,114,ospf,SW-HP,172.19.1.11
UTD-LASSIGNY,40,sdsl,SW-CISCO,192.168.40.10
UTD-LASSIGNY,40,sdsl,SW-CISCO,192.168.40.11
UTD-LASSIGNY,40,sdsl,SW-CISCO-L3,192.168.40.1
UTD-MERU,41,sdsl,SW-CISCO-L3,192.168.41.1
UTD-PONT,42,sdsl,SW-CISCO,192.168.42.10
UTD-PONT,42,sdsl,SW-CISCO,192.168.42.11
UTD-PONT,42,sdsl,SW-CISCO-L3,192.168.42.1
UTD-SONGEONS,43,sdsl,SW-CISCO,192.168.43.10
UTD-SONGEONS,43,sdsl,SW-CISCO-L3,192.168.43.1
UTD-STJUST,44,sdsl,SW-CISCO-L3,192.168.44.1
